timestamp,lat,lon
2026-06-20T23:41:48.901564,35.723317,139.672449
2026-06-20T23:41:53.986963,35.723317,139.672449
2026-06-20T23:41:59.579496,35.723317,139.672449
2026-06-20T23:42:04.868837,35.723317,139.672449
2026-06-20T23:42:09.652793,35.723317,139.672449
2026-06-20T23:42:19.045259,35.723317,139.672449
2026-06-20T23:42:19.118063,35.723317,139.672449
2026-06-20T23:42:26.094454,35.723317,139.672449
2026-06-20T23:42:29.058990,35.723317,139.672449
2026-06-20T23:42:34.073448,35.723317,139.672449
2026-06-20T23:42:55.803101,35.723317,139.672449
2026-06-20T23:43:56.510844,35.723317,139.672449
2026-06-20T23:44:21.688310,35.723317,139.672449
2026-06-20T23:44:21.715238,35.723317,139.672449
2026-06-20T23:44:33.802244,35.723317,139.672449
2026-06-20T23:44:33.900979,35.723317,139.672449
2026-06-20T23:44:33.955832,35.723317,139.672449
2026-06-20T23:44:33.958824,35.723317,139.672449
2026-06-20T23:44:34.019660,35.723317,139.672449
2026-06-20T23:46:01.156733,35.723317,139.672449
2026-06-20T23:46:07.051148,35.723317,139.672449
2026-06-20T23:46:11.243440,35.723317,139.672449
2026-06-20T23:46:16.033043,35.723317,139.672449
2026-06-20T23:46:20.961881,35.723317,139.672449
2026-06-20T23:46:25.964935,35.723317,139.672449
2026-06-20T23:48:21.422614,35.723317,139.672449
2026-06-20T23:48:25.080558,35.723317,139.672449
2026-06-20T23:48:29.123241,35.723317,139.672449
2026-06-20T23:48:29.313785,35.723317,139.672449
2026-06-20T23:48:29.368637,35.723317,139.672449
2026-06-20T23:48:29.386589,35.723317,139.672449
2026-06-20T23:48:29.464380,35.723317,139.672449
2026-06-20T23:48:29.526255,35.723317,139.672449
2026-06-20T23:48:29.610030,35.723317,139.672449
2026-06-20T23:48:29.670952,35.723317,139.672449
2026-06-20T23:48:29.774673,35.723317,139.672449
2026-06-20T23:49:51.213870,35.723317,139.672449
2026-06-21T00:24:48.881029,35.723317,139.672449
2026-06-21T00:24:53.292775,35.723317,139.672449
2026-06-21T00:24:58.321681,35.723317,139.672449
2026-06-21T00:25:03.374677,35.723317,139.672449
2026-06-21T00:25:08.938821,35.723317,139.672449
2026-06-21T00:25:13.972420,35.723317,139.672449
2026-06-21T00:25:18.958599,35.723317,139.672449
2026-06-21T00:25:23.951973,35.723317,139.672449
2026-06-21T00:25:28.945432,35.723317,139.672449
2026-06-21T00:25:33.948583,35.723317,139.672449
2026-06-21T00:25:38.965713,35.723317,139.672449
2026-06-21T00:25:43.932944,35.723317,139.672449
2026-06-21T00:25:48.957889,35.723317,139.672449
2026-06-21T00:25:54.037041,35.723317,139.672449
2026-06-21T00:25:58.958392,35.723317,139.672449
2026-06-21T00:26:03.925668,35.723317,139.672449
2026-06-21T00:26:39.936956,35.723317,139.672449
2026-06-21T00:27:39.952486,35.723317,139.672449
2026-06-21T00:28:39.926796,35.723317,139.672449
2026-06-21T00:29:39.951539,35.723317,139.672449
2026-06-21T00:30:39.959307,35.723317,139.672449
2026-06-21T00:31:39.937044,35.723317,139.672449
2026-06-21T00:32:39.933508,35.723317,139.672449
2026-06-21T00:33:39.969624,35.723317,139.672449
2026-06-21T00:34:39.929302,35.723317,139.672449
2026-06-21T00:35:40.239531,35.723317,139.672449
2026-06-21T00:36:11.747678,35.723317,139.672449
2026-06-21T00:36:13.282990,35.723317,139.672449
2026-06-21T00:36:18.309513,35.723317,139.672449
2026-06-21T00:36:23.281147,35.723317,139.672449
2026-06-21T00:36:28.291442,35.723317,139.672449
2026-06-21T00:36:33.370026,35.723317,139.672449
2026-06-21T00:36:38.291551,35.723317,139.672449
2026-06-21T00:36:43.952542,35.723317,139.672449
2026-06-21T00:36:48.956360,35.723317,139.672449
2026-06-21T00:36:53.934889,35.723317,139.672449
2026-06-21T00:36:58.975409,35.723317,139.672449
2026-06-21T00:37:03.938352,35.723317,139.672449
2026-06-21T00:37:08.953114,35.723317,139.672449
2026-06-21T00:37:13.939251,35.723317,139.672449
2026-06-21T00:37:18.956203,35.723317,139.672449
2026-06-21T00:37:23.933249,35.723317,139.672449
2026-06-21T00:37:28.955824,35.723317,139.672449
2026-06-21T00:37:33.922217,35.723317,139.672449
2026-06-21T00:37:38.956192,35.723317,139.672449
2026-06-21T00:38:39.983617,35.723317,139.672449
2026-06-21T00:39:39.955680,35.723317,139.672449
2026-06-21T00:40:04.325888,35.723317,139.672449
2026-06-21T00:40:09.313428,35.723317,139.672449
2026-06-21T00:40:14.301560,35.723317,139.672449
2026-06-21T00:40:19.321087,35.723317,139.672449
2026-06-21T00:40:24.322967,35.723317,139.672449
2026-06-21T00:40:29.296651,35.723317,139.672449
2026-06-21T00:40:34.297476,35.723317,139.672449
2026-06-21T00:40:39.301081,35.723317,139.672449
